id,name,address1,address2,city,zip_code,review_count,categories,rating,price
d3078322f2,World Wrapps,208 Corte Madera Town Center, , San Francisco,94925,31,"Sandwich, Salads, Mexican, Fast",5,$
d35238a43f,Yuet Lee Seafood Restaurant,1300 Stockton St, , San Francisco,94133,25,"Chinese, Asian, Cantonese, Congee",5,$
d39609d4dd,New Red Jade,245 Church Street, , San Francisco,94114,100+,"Chinese, Asian, Asian",0,$
d433f79a3a,Metro Caffe,247 Fillmore St, , San Francisco,94117,20,"American, Burgers, Sandwich",5,$
d6c9f26a5f,Entrepanes Sandwich Co,331 Baden Avenue, , San Francisco,94080,new,"Sandwiches, American, Healthy",0,$
d8fe8220b8,Leonore’s Deli & Taqueria,601 Van Ness Ave , Suite K, San Francisco,94102,new,"Mexican, New",0,$
d904b24431,Champa Garden,613 Faxon Ave, , San Francisco,94112,100+,"Thai, Laotian, Asian",0,$
dafacf8f48,El Pollo Supremo,5210 Mission St, , San Francisco,94112,100+,Latin,0,$
dbadaf5293,Chaat Corner (San Francisco),320 3rd St, , San Francisco,94107,100+,"Indian, Vegetarian",0,$
dc723ae5a6,Golden Kim Tar,434 Larkin St, , San Francisco,94102,17,"Chinese, Vegetarian",4,$
dcab1f7163,Angel Cafe & Deli,700 Geary Street, , San Francisco,94109,14,Coffee,5,$
dd88f5dd74,Mount Everest Restaurant,2598 Telegraph Ave, , San Francisco,94704,26,"Indian, Vegan",5,$
